func,classification
if,data cleaning
require,setup
install.packages,setup
if,data cleaning
require,setup
install.packages,setup
if,data cleaning
require,setup
install.packages,setup
if,data cleaning
require,setup
install.packages,setup
if,data cleaning
require,setup
install.packages,setup
if,data cleaning
require,setup
install.packages,setup
if,data cleaning
require,setup
install.packages,setup
if,data cleaning
require,setup
install.packages,setup
if,data cleaning
require,setup
install.packages,setup
if,data cleaning
require,setup
install.packages,setup
if,data cleaning
require,setup
install.packages,setup
if,data cleaning
require,setup
install.packages,setup
source,setup
source,setup
source,setup
source,setup
source,setup
source,setup
source,setup
source,setup
source,setup
source,setup
function,setup
tempfile,setup
sprintf,setup
sprintf,setup
function,setup
sprintf,setup
as.character,data cleaning
sprintf,setup
if,data cleaning
file.exists,setup
tibble,data cleaning
tibble,data cleaning
function,setup
dir.create,setup
tibble,data cleaning
group_by,data cleaning
ungroup,data cleaning
function,setup
dir.create,setup
filter,data cleaning
distinct,data cleaning
mutate,data cleaning
gsub,data cleaning
group_by,data cleaning
paste0,setup
sprintf,setup
if,data cleaning
file.exists,setup
tibble,data cleaning
tibble,data cleaning
ungroup,data cleaning
function,setup
dir.create,setup
filter,data cleaning
distinct,data cleaning
mutate,data cleaning
gsub,data cleaning
group_by,data cleaning
paste0,setup
sprintf,setup
if,data cleaning
file.exists,setup
tibble,data cleaning
tibble,data cleaning
ungroup,data cleaning
function,setup
dir.create,setup
filter,data cleaning
str_detect,exploratory
with,evaluation
gsub,data cleaning
sprintf,setup
unique,data cleaning
tibble,data cleaning
group_by,data cleaning
sprintf,setup
if,data cleaning
file.exists,setup
tibble,data cleaning
tibble,data cleaning
ungroup,data cleaning
library,setup
library,setup
library,setup
load,setup
load,setup
load,setup
unique,data cleaning
sort,data cleaning
tibble,data cleaning
left_join,data cleaning
str_to_upper,data cleaning
left_join,data cleaning
which,exploratory
is.na,data cleaning
unique,data cleaning
tibble,data cleaning
left_join,data cleaning
ifelse,data cleaning
is.na,data cleaning
group_by,data cleaning
summarize,data cleaning
mutate,data cleaning
substr,data cleaning
group_by,data cleaning
summarize,data cleaning
spread,data cleaning
mutate,data cleaning
ifelse,data cleaning
is.na,data cleaning
ifelse,data cleaning
is.na,data cleaning
ifelse,data cleaning
is.na,data cleaning
select,data cleaning
mutate,data cleaning
as.character,data cleaning
ungroup,data cleaning
ifelse,data cleaning
is.na,data cleaning
ifelse,data cleaning
is.na,data cleaning
is.na,data cleaning
is.na,data cleaning
ifelse,data cleaning
filter,data cleaning
table,evaluation
table,evaluation
sort,data cleaning
paste,data cleaning
paste0,setup
library,setup
library,setup
load,setup
load,setup
load,setup
load,setup
readRDS,data cleaning
filter,data cleaning
is.na,data cleaning
filter,data cleaning
is.na,data cleaning
for,data cleaning
seq,setup
mutate,data cleaning
ifelse,data cleaning
str_detect,exploratory
if,data cleaning
rm,setup
mutate,data cleaning
str_detect,exploratory
str_detect,exploratory
str_detect,exploratory
str_detect,exploratory
mutate,data cleaning
as.character,data cleaning
inner_join,data cleaning
filter,data cleaning
is.na,data cleaning
str_to_lower,data cleaning
mutate,data cleaning
unnest_tokens,setup
anti_join,data cleaning
tibble,data cleaning
count,data cleaning
left_join,data cleaning
select,data cleaning
group_by,data cleaning
arrange,data cleaning
filter,data cleaning
ungroup,data cleaning
mutate,data cleaning
ggplot,exploratory
aes,exploratory
facet_wrap,exploratory
theme,exploratory
labs,exploratory
summary,modeling
group_by,data cleaning
ungroup,data cleaning
ggplot,exploratory
aes,exploratory
as.factor,data cleaning
facet_wrap,exploratory
rownames,data cleaning
ggplot,exploratory
aes,exploratory
as.factor,data cleaning
facet_wrap,exploratory
labs,exploratory
summary,modeling
group_by,data cleaning
ungroup,data cleaning
ggplot,exploratory
aes,exploratory
as.factor,data cleaning
facet_wrap,exploratory
rownames,data cleaning
ggplot,exploratory
aes,exploratory
as.factor,data cleaning
facet_wrap,exploratory
labs,exploratory
library,setup
library,setup
library,setup
library,setup
library,setup
library,setup
library,setup
load,setup
filter,data cleaning
